episode,return,length,epsilon,act0,act1,act2,act3
146,2.004,2,0.8586,0,1,1,0
147,0.725,1,0.8585,0,1,0,0
148,9.7521,2,0.8582,1,0,1,0
149,3.8479,2,0.858,0,0,1,1
150,4.6561,2,0.8577,0,1,0,1
151,1.2501,1,0.8576,0,1,0,0
152,0.5263,1,0.8575,0,0,0,1
153,7.5946,9,0.8564,2,0,3,4
154,13.471,4,0.856,1,1,2,0
155,3.1536,6,0.8552,1,2,1,2
156,0.2248,1,0.8551,0,1,0,0
157,4.422,1,0.855,0,0,0,1
158,7.0404,4,0.8545,2,0,1,1
159,16.4465,3,0.8542,0,0,2,1
160,1.0263,1,0.8541,1,0,0,0
161,5.4246,2,0.8538,1,0,1,0
162,11.6887,11,0.8525,0,4,5,2
163,57.3675,6,0.8518,2,1,1,2
164,7.5698,2,0.8516,1,0,0,1
165,16.2701,5,0.851,2,2,1,0
166,2.6294,1,0.8509,1,0,0,0
167,4.4746,1,0.8507,1,0,0,0
168,0.6105,1,0.8506,0,0,0,1
169,26.1161,6,0.8499,0,3,1,2
170,3.5418,3,0.8495,2,1,0,0
171,16.4381,7,0.8487,1,3,1,2
172,1.1746,3,0.8484,0,2,0,1
173,1.6316,2,0.8481,0,0,1,1
174,2.8953,1,0.848,1,0,0,0
175,3.0795,1,0.8479,0,0,1,0
176,5.4749,1,0.8478,0,0,0,1
177,1.301,4,0.8473,0,2,1,1
178,36.512,4,0.8468,2,1,0,1
179,14.6285,1,0.8467,0,1,0,0
180,7.1264,2,0.8465,0,2,0,0
181,18.7236,14,0.8448,4,4,4,2
182,0.7499,1,0.8447,0,1,0,0
183,0.6999,1,0.8446,0,1,0,0
184,28.2638,10,0.8434,0,5,3,2
185,2.0845,1,0.8433,0,0,1,0
186,1.2633,1,0.8431,0,0,0,1
187,0.2807,2,0.8429,0,0,1,1
188,1.2606,1,0.8428,1,0,0,0
189,6.568,4,0.8423,0,1,0,3
190,1.0838,3,0.8419,2,0,1,0
191,23.7109,12,0.8405,1,3,5,3
192,5.5249,1,0.8404,1,0,0,0
193,5.9966,2,0.8402,0,2,0,0
194,9.7337,5,0.8396,1,2,0,2
195,1.9253,1,0.8395,0,1,0,0
196,23.2434,9,0.8384,5,2,1,1
197,36.2671,7,0.8376,3,2,1,1
198,3.9481,1,0.8374,1,0,0,0
199,2.2503,1,0.8373,0,1,0,0
200,4.1505,3,0.837,0,1,1,1
201,1.0506,1,0.8368,0,0,0,1
202,2.7216,10,0.8357,1,5,3,1
203,3.0005,1,0.8355,0,1,0,0
204,19.0497,4,0.8351,1,2,0,1
205,7.6515,2,0.8348,0,2,0,0
206,1.7106,4,0.8343,1,0,1,2
207,0.6868,1,0.8342,0,0,1,0
208,0.3999,1,0.8341,0,0,0,1
209,8.6183,5,0.8335,0,2,1,2
210,6.1166,3,0.8332,0,1,1,1
211,7.6846,10,0.832,1,1,4,4
212,2.2503,1,0.8319,0,1,0,0
213,6.8146,2,0.8316,0,1,0,1
214,1.7502,1,0.8315,0,1,0,0
215,0.2248,1,0.8314,0,1,0,0
216,0.044,2,0.8311,1,1,0,0
217,5.8793,6,0.8304,0,3,2,1
218,7.1248,3,0.8301,0,2,0,1
219,4.2114,1,0.83,0,0,0,1
220,6.529,5,0.8294,1,3,0,1
221,7.109,3,0.829,0,1,2,0
222,6.4486,2,0.8288,0,1,0,1
223,3.6507,1,0.8286,0,1,0,0
224,8.0256,2,0.8284,0,1,1,0
225,13.1281,1,0.8283,0,1,0,0
226,21.0251,10,0.8271,0,5,2,3
227,10.5492,4,0.8266,0,0,3,1
228,2.115,3,0.8263,0,2,1,0
229,31.9203,19,0.824,3,4,10,2
230,1.2064,2,0.8238,0,0,1,1
231,0.7133,2,0.8235,0,1,1,0
232,2.8198,3,0.8232,0,1,2,0
233,2.8738,3,0.8228,0,0,1,2
234,0.0353,1,0.8227,0,0,1,0
235,7.5514,4,0.8222,0,2,0,2
236,10.7526,1,0.8221,0,1,0,0
237,149.9135,104,0.8098,25,43,24,12
238,1.8529,1,0.8096,0,0,0,1
239,315.2209,201,0.7858,38,89,38,36
240,0.2366,1,0.7857,1,0,0,0
241,5.1956,5,0.7851,1,2,1,1
242,0.1654,2,0.7848,1,1,0,0
243,7.5566,3,0.7845,0,2,1,0
244,10.789,3,0.7841,1,0,1,1
245,4.3559,2,0.7839,1,1,0,0
246,3.2506,1,0.7838,0,1,0,0
247,0.2321,2,0.7835,0,0,1,1
248,14.0003,3,0.7832,0,3,0,0
249,51.57,9,0.7821,2,5,1,1
250,29.9974,9,0.781,3,1,4,1
251,8.3275,4,0.7806,1,1,1,1
252,5.2588,2,0.7803,2,0,0,0
253,3.1987,11,0.779,0,5,3,3
254,7.5084,8,0.7781,1,6,0,1
255,0.1498,1,0.7779,0,1,0,0
256,8.8275,4,0.7775,1,2,1,0
257,2.6252,2,0.7772,0,2,0,0
258,0.3498,1,0.7771,0,1,0,0
259,1.974,1,0.777,1,0,0,0
260,7.1843,3,0.7766,0,2,0,1
261,9.7708,1,0.7765,1,0,0,0
262,1.5157,2,0.7763,1,0,0,1
263,1.4112,3,0.7759,1,0,1,1
264,5.7248,2,0.7757,0,1,0,1
265,3.5004,2,0.7754,1,1,0,0
266,0.2499,1,0.7753,0,1,0,0
267,1.5002,1,0.7752,0,1,0,0
268,44.7035,18,0.7731,3,2,7,6
269,16.7137,5,0.7725,0,3,2,0
270,10.746,4,0.772,0,2,1,1
271,0.775,1,0.7719,0,1,0,0
272,5.2843,4,0.7714,1,1,2,0
273,5.3957,2,0.7712,2,0,0,0
274,6.3962,1,0.7711,0,0,1,0
275,3.4715,2,0.7708,1,0,0,1
276,8.2914,1,0.7707,0,0,1,0
277,16.111,9,0.7696,1,4,2,2
278,42.6316,7,0.7688,1,5,0,1
279,19.0142,8,0.7678,1,4,3,0
280,10.4975,3,0.7675,0,1,0,2
281,15.4016,12,0.7661,2,7,0,3
282,2.6292,2,0.7658,0,0,2,0
283,5.8961,1,0.7657,0,0,0,1
284,6.5515,1,0.7656,0,1,0,0
285,50.0125,2,0.7654,0,2,0,0
286,6.5804,1,0.7652,1,0,0,0
287,6.577,2,0.765,0,1,0,1
288,0.4874,1,0.7649,0,1,0,0
289,1.7208,3,0.7645,2,0,0,1
290,7.0607,2,0.7643,0,1,1,0
291,9.0018,2,0.764,0,2,0,0
292,0.2998,1,0.7639,0,1,0,0
293,1.8552,2,0.7637,1,0,1,0
294,6.3804,1,0.7636,0,0,0,1
295,1.4212,1,0.7635,0,0,1,0
296,2.2924,4,0.763,2,2,0,0
297,1.5002,1,0.7629,0,1,0,0
298,2.1319,1,0.7627,0,0,1,0
299,7.3014,2,0.7625,0,2,0,0
300,2.487,2,0.7623,1,1,0,0
301,2.508,2,0.762,2,0,0,0
302,11.2391,3,0.7617,1,2,0,0
303,2.632,1,0.7616,1,0,0,0
304,1.4751,1,0.7614,0,1,0,0
305,1.2791,1,0.7613,0,0,1,0
306,12.423,1,0.7612,0,0,1,0
307,0.7229,2,0.761,0,1,1,0
308,2.8953,1,0.7608,1,0,0,0
309,4.5692,2,0.7606,0,0,1,1
310,20.6689,4,0.7601,2,2,0,0
311,4.0272,1,0.76,0,0,1,0
312,19.0161,11,0.7587,0,2,4,5
313,11.1606,1,0.7586,0,0,0,1
314,10.0905,10,0.7574,0,4,3,3
315,1.0634,1,0.7573,0,0,1,0
316,84.4588,36,0.753,5,12,11,8
317,3.1582,2,0.7528,1,1,0,0
318,1.2751,1,0.7526,0,1,0,0
319,0.1313,1,0.7525,1,0,0,0
320,0.8497,2,0.7523,0,2,0,0
321,9.1169,9,0.7512,4,2,2,1
322,1.2499,2,0.751,0,2,0,0
323,14.0883,4,0.7505,0,2,1,1
324,31.2611,16,0.7486,5,3,4,4
325,4.0219,1,0.7485,0,0,0,1
326,12.1842,2,0.7483,1,0,1,0
327,0.0921,1,0.7481,0,0,1,0
328,3.103,2,0.7479,1,0,1,0
329,0.5129,2,0.7477,1,1,0,0
330,11.342,2,0.7474,0,1,0,1
331,0.7364,2,0.7472,2,0,0,0
332,25.2427,3,0.7468,1,0,2,0
333,2.0843,2,0.7466,0,0,2,0
334,3.5533,1,0.7465,0,0,1,0
335,0.5749,4,0.746,1,1,1,1
336,1.4604,2,0.7458,1,0,1,0
337,8.0019,1,0.7456,0,0,0,1
338,5.395,4,0.7452,1,1,1,1
339,0.0648,1,0.745,0,1,0,0
340,1.3751,1,0.7449,0,1,0,0
341,3.5007,1,0.7448,0,1,0,0
342,12.8973,3,0.7445,1,1,0,1
343,1.7708,4,0.744,1,2,0,1
344,0.4867,1,0.7439,1,0,0,0
345,21.4055,12,0.7424,5,1,3,3
346,0.3749,1,0.7423,0,1,0,0
347,10.6051,2,0.7421,1,0,1,0
348,1.6999,6,0.7414,2,0,3,1
349,7.3287,4,0.7409,1,2,0,1
350,89.1542,15,0.7391,6,3,3,3
351,0.1683,1,0.739,0,0,0,1
352,0.8421,1,0.7389,0,0,0,1
353,11.7516,21,0.7364,3,6,7,5
354,1.8397,1,0.7363,1,0,0,0
355,7.7892,1,0.7361,0,0,0,1
356,1.0526,1,0.736,1,0,0,0
357,8.5233,2,0.7358,1,0,0,1
358,0.2073,1,0.7357,0,1,0,0
359,8.6686,8,0.7347,0,2,4,2
360,7.463,5,0.7341,2,1,2,0
361,5.2469,2,0.7339,1,1,0,0
362,9.2497,1,0.7338,0,1,0,0
363,3.628,4,0.7333,1,1,1,1
364,9.2387,2,0.7331,1,1,0,0
365,1.895,1,0.7329,0,0,0,1
366,28.803,3,0.7326,1,1,0,1
367,0.0377,1,0.7325,0,0,1,0
368,1.4717,1,0.7323,0,0,0,1
369,2.1203,1,0.7322,0,1,0,0
370,0.8684,1,0.7321,1,0,0,0
371,9.5135,3,0.7317,1,1,0,1
372,3.5673,4,0.7313,1,1,2,0
373,2.2003,1,0.7312,0,1,0,0
374,2.3665,1,0.731,0,0,1,0
375,6.567,2,0.7308,1,0,1,0
376,0.9479,4,0.7303,1,2,1,0
377,4.0797,1,0.7302,1,0,0,0
378,3.5533,1,0.7301,0,0,1,0
379,1.3542,5,0.7295,0,2,3,0
380,2.761,1,0.7294,1,0,0,0
381,26.7629,10,0.7282,2,2,5,1
382,1.2104,2,0.7279,1,0,1,0
383,2.761,1,0.7278,1,0,0,0
384,3.145,2,0.7276,1,0,1,0
385,12.1779,1,0.7275,0,1,0,0
386,21.1461,6,0.7268,2,1,1,2
387,16.9509,3,0.7264,0,2,1,0
388,20.5844,6,0.7257,2,1,2,1
389,3.8113,1,0.7256,0,0,0,1
390,5.0588,3,0.7252,1,0,2,0
391,2.8755,1,0.7251,0,1,0,0
392,6.6802,2,0.7249,0,0,2,0
393,1.5625,13,0.7233,0,4,4,5
394,5.0383,7,0.7225,3,0,3,1
395,15.9115,2,0.7222,1,1,0,0
396,56.9517,33,0.7183,9,11,10,3
397,36.4662,16,0.7164,6,4,4,2
398,27.6071,6,0.7157,2,2,2,0
399,43.0832,8,0.7148,3,1,3,1
400,2.4849,1,0.7146,0,0,1,0
401,35.496,19,0.7124,8,3,4,4
402,2.3199,2,0.7122,1,1,0,0
403,17.4252,2,0.7119,0,0,1,1
404,22.4844,3,0.7116,1,0,1,1
405,21.4038,7,0.7107,2,2,0,3
406,42.6416,4,0.7103,0,0,4,0
407,6.5015,1,0.7101,0,1,0,0
408,8.3965,2,0.7099,1,0,1,0
409,0.5099,1,0.7098,0,1,0,0
410,0.7499,1,0.7097,0,1,0,0
411,0.5263,1,0.7095,0,0,0,1
412,12.1902,6,0.7088,2,1,2,1
413,18.2737,2,0.7086,1,1,0,0
414,0.7713,5,0.708,1,2,0,2
415,5.126,1,0.7079,0,1,0,0
416,3.375,3,0.7075,1,1,1,0
417,6.5015,1,0.7074,0,1,0,0
418,15.3087,2,0.7072,2,0,0,0
419,1.2515,5,0.7066,0,2,0,3
420,91.9351,19,0.7043,5,6,4,4
421,6.0764,1,0.7042,0,1,0,0
422,18.8958,5,0.7036,3,1,1,0
423,20.662,6,0.7029,1,1,1,3
424,7.4938,3,0.7025,1,1,1,0
425,1.0526,1,0.7024,1,0,0,0
426,2.1035,1,0.7023,0,0,0,1
427,1.974,1,0.7022,1,0,0,0
428,5.126,1,0.7021,0,1,0,0
429,13.0611,6,0.7013,2,0,3,1
430,1.0,1,0.7012,0,1,0,0
431,3.2216,1,0.7011,0,0,1,0
432,4.6326,1,0.701,0,0,0,1
433,0.4841,1,0.7009,0,0,0,1
434,8.2517,2,0.7006,1,0,1,0
435,0.1111,1,0.7005,0,0,1,0
436,6.3334,4,0.7,1,2,1,0
437,40.3352,13,0.6985,2,4,4,3
438,1.5764,1,0.6984,1,0,0,0
439,35.1324,13,0.6968,4,5,1,3
440,3.3691,1,0.6967,0,0,0,1
441,2.3793,1,0.6966,0,0,0,1
442,0.3641,2,0.6964,0,1,1,0
443,34.8529,17,0.6943,4,3,4,6
444,1.4188,1,0.6942,0,0,1,0
445,7.9357,2,0.694,1,1,0,0
446,9.0227,3,0.6936,0,1,2,0
447,14.3948,8,0.6927,4,0,3,1
448,22.6189,8,0.6917,2,2,0,4
449,51.4261,6,0.691,3,1,2,0
450,11.1818,12,0.6896,4,4,1,3
451,39.5544,14,0.6879,5,3,2,4
452,1.551,3,0.6876,1,0,2,0
453,1.125,1,0.6875,0,1,0,0
454,0.8171,1,0.6873,0,0,1,0
455,3.5415,2,0.6871,0,1,1,0
456,1.5854,1,0.687,0,0,0,1
457,7.7892,1,0.6869,0,0,0,1
458,12.4361,6,0.6861,0,1,3,2
459,27.1857,15,0.6844,5,4,3,3
460,10.9229,5,0.6838,0,1,0,4
461,3.4663,2,0.6835,0,0,1,1
462,1.0527,1,0.6834,0,0,0,1
463,12.4372,1,0.6833,0,0,1,0
464,13.6911,20,0.6809,5,2,12,1
465,23.1234,4,0.6804,0,2,2,0
466,12.6109,1,0.6803,1,0,0,0
467,177.6008,33,0.6764,7,6,9,11
468,2.549,5,0.6758,0,1,1,3
469,5.0537,1,0.6757,0,0,0,1
470,9.7391,1,0.6756,1,0,0,0
471,15.5427,3,0.6752,2,1,0,0
472,2.0813,2,0.675,0,1,1,0
473,5.3562,2,0.6747,0,1,1,0
474,12.0414,4,0.6743,0,1,3,0
475,7.5788,1,0.6742,0,0,0,1
476,7.3159,3,0.6738,0,1,2,0
477,9.9963,5,0.6732,0,5,0,0
478,16.6482,3,0.6728,1,1,0,1
479,30.8381,13,0.6713,9,2,0,2
480,25.8018,3,0.6709,0,1,1,1
481,21.8282,6,0.6702,2,2,1,1
482,4.3492,3,0.6699,1,2,0,0
483,1.5002,1,0.6698,0,1,0,0
484,6.1936,3,0.6694,1,0,0,2
485,1.7737,2,0.6692,0,0,1,1
486,0.9348,2,0.6689,0,1,0,1
487,0.589,3,0.6686,0,2,1,0
488,4.6718,2,0.6683,0,1,1,0
489,14.3922,5,0.6677,1,1,2,1
490,10.6465,4,0.6673,2,1,1,0
491,0.3997,2,0.667,0,2,0,0
492,2.0527,2,0.6668,1,1,0,0
493,76.1901,30,0.6632,9,8,10,3
494,1.342,2,0.663,0,0,1,1
495,0.7481,3,0.6626,2,1,0,0
496,9.2497,1,0.6625,0,1,0,0
497,5.9187,10,0.6613,3,4,1,2
498,23.413,4,0.6609,0,0,2,2
499,1.6698,4,0.6604,0,3,0,1
500,27.6014,2,0.6601,0,1,0,1
501,21.2986,11,0.6588,2,1,6,2
502,10.9595,5,0.6582,0,1,2,2
503,0.484,5,0.6576,0,2,2,1
504,9.384,5,0.6571,2,2,0,1
505,18.8414,3,0.6567,1,1,1,0
506,239.9832,40,0.6519,17,10,6,7
507,13.1281,1,0.6518,0,1,0,0
508,0.4998,1,0.6517,0,1,0,0
509,17.7518,1,0.6516,0,0,0,1
510,1.8801,3,0.6512,0,2,0,1
511,7.3703,6,0.6505,1,2,0,3
512,15.4834,8,0.6496,3,3,0,2
513,1.4071,5,0.649,1,1,1,2
514,7.8831,2,0.6487,0,1,1,0
515,3.1609,2,0.6485,1,1,0,0
516,3.2506,1,0.6484,0,1,0,0
517,0.1051,1,0.6483,0,0,0,1
518,2.5342,3,0.6479,1,1,1,0
519,6.2379,2,0.6477,1,0,1,0
520,0.4733,2,0.6474,2,0,0,0
521,3.3753,2,0.6472,0,2,0,0
522,16.1711,10,0.646,2,4,0,4
523,23.3464,7,0.6452,0,2,5,0
524,3.2721,5,0.6446,2,2,0,1
525,4.1454,2,0.6443,0,1,0,1
526,3.2504,2,0.6441,0,2,0,0
527,19.0102,3,0.6438,1,1,1,0
528,8.7919,2,0.6435,0,2,0,0
529,0.4498,1,0.6434,0,1,0,0
530,6.4758,4,0.6429,0,4,0,0
531,4.0002,3,0.6426,2,0,1,0
532,4.3033,2,0.6423,0,1,0,1
533,1.8753,1,0.6422,0,1,0,0
534,0.5149,1,0.6421,0,1,0,0
535,36.3356,3,0.6417,0,0,2,1
536,14.1898,8,0.6408,3,1,2,2
537,29.2297,6,0.6401,1,5,0,0
538,68.5287,36,0.6358,12,8,9,7
539,0.9474,1,0.6357,0,0,0,1
540,0.2499,1,0.6356,0,1,0,0
541,22.8796,19,0.6333,4,8,6,1
542,17.2506,22,0.6307,1,12,8,1
543,4.5009,1,0.6306,0,1,0,0
544,23.191,5,0.63,1,0,2,2
545,5.5275,1,0.6299,1,0,0,0
546,12.5526,3,0.6295,1,1,1,0
547,14.7399,3,0.6291,3,0,0,0
548,0.875,1,0.629,0,1,0,0
549,26.0593,6,0.6283,1,1,3,1
550,0.6862,4,0.6278,1,2,0,1
551,9.4804,9,0.6268,6,1,2,0
552,6.7515,1,0.6267,0,1,0,0
553,2.306,5,0.6261,1,3,0,1
554,48.8269,12,0.6246,2,6,3,1
555,0.5746,2,0.6244,0,2,0,0
556,8.9301,23,0.6217,3,5,6,9
557,20.1736,9,0.6206,2,3,0,4
558,13.7941,16,0.6187,2,2,9,3
559,1.1577,2,0.6185,2,0,0,0
560,16.4771,4,0.618,2,1,1,0
561,5.6191,3,0.6176,1,2,0,0
